year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2000,GEORGIA,GA,APPLING,13001,US PRESIDENT,AL GORE,DEMOCRAT,2093,6099,20220315,TOTAL
2000,GEORGIA,GA,APPLING,13001,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3940,6099,20220315,TOTAL
2000,GEORGIA,GA,APPLING,13001,US PRESIDENT,RALPH NADER,GREEN,2,6099,20220315,TOTAL
2000,GEORGIA,GA,APPLING,13001,US PRESIDENT,OTHER,OTHER,64,6099,20220315,TOTAL
2000,GEORGIA,GA,ATKINSON,13003,US PRESIDENT,AL GORE,DEMOCRAT,821,2071,20220315,TOTAL
2000,GEORGIA,GA,ATKINSON,13003,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1228,2071,20220315,TOTAL
2000,GEORGIA,GA,ATKINSON,13003,US PRESIDENT,RALPH NADER,GREEN,1,2071,20220315,TOTAL
2000,GEORGIA,GA,ATKINSON,13003,US PRESIDENT,OTHER,OTHER,21,2071,20220315,TOTAL
2000,GEORGIA,GA,BACON,13005,US PRESIDENT,AL GORE,DEMOCRAT,956,2995,20220315,TOTAL
2000,GEORGIA,GA,BACON,13005,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2010,2995,20220315,TOTAL
2000,GEORGIA,GA,BACON,13005,US PRESIDENT,RALPH NADER,GREEN,2,2995,20220315,TOTAL
2000,GEORGIA,GA,BACON,13005,US PRESIDENT,OTHER,OTHER,27,2995,20220315,TOTAL
2000,GEORGIA,GA,BAKER,13007,US PRESIDENT,AL GORE,DEMOCRAT,893,1519,20220315,TOTAL
2000,GEORGIA,GA,BAKER,13007,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,615,1519,20220315,TOTAL
2000,GEORGIA,GA,BAKER,13007,US PRESIDENT,RALPH NADER,GREEN,0,1519,20220315,TOTAL
2000,GEORGIA,GA,BAKER,13007,US PRESIDENT,OTHER,OTHER,11,1519,20220315,TOTAL
