"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2020","00000","United States","321,478,113","38,371,394","38,309,115 to 38,433,673","11.9","11.9 to 11.9"
"2020","13000","Georgia","10,432,381","1,465,328","1,428,552 to 1,502,104","14.0","13.6 to 14.4"
"2020","13001","Appling County","17,863","3,550","2,734 to 4,366","19.9","15.3 to 24.5"
"2020","13003","Atkinson County","8,349","1,801","1,362 to 2,240","21.6","16.3 to 26.9"
"2020","13005","Bacon County","10,712","2,261","1,746 to 2,776","21.1","16.3 to 25.9"
"2020","13007","Baker County","2,961","701","525 to 877","23.7","17.8 to 29.6"
"2020","13009","Baldwin County","39,360","8,910","7,121 to 10,699","22.6","18.1 to 27.1"
"2020","13011","Banks County","19,307","2,245","1,657 to 2,833","11.6","8.6 to 14.6"
"2020","13013","Barrow County","85,119","8,629","6,912 to 10,346","10.1","8.1 to 12.1"
"2020","13015","Bartow County","108,112","10,991","8,376 to 13,606","10.2","7.8 to 12.6"
"2020","13017","Ben Hill County","16,304","3,636","2,803 to 4,469","22.3","17.2 to 27.4"
"2020","13019","Berrien County","19,149","3,610","2,782 to 4,438","18.9","14.6 to 23.2"
"2020","13021","Bibb County","146,036","40,946","36,558 to 45,334","28.0","25.0 to 31.0"
"2020","13023","Bleckley County","11,521","2,134","1,663 to 2,605","18.5","14.4 to 22.6"
"2020","13025","Brantley County","19,048","3,386","2,591 to 4,181","17.8","13.6 to 22.0"
"2020","13027","Brooks County","15,278","3,140","2,334 to 3,946","20.6","15.3 to 25.9"
"2020","13029","Bryan County","40,527","3,249","2,487 to 4,011","8.0","6.1 to 9.9"
"2020","13031","Bulloch County","74,201","15,342","12,499 to 18,185","20.7","16.9 to 24.5"
"2020","13033","Burke County","22,309","4,455","3,285 to 5,625","20.0","14.8 to 25.2"
"2020","13035","Butts County","22,364","4,651","3,932 to 5,370","20.8","17.6 to 24.0"
"2020","13037","Calhoun County","4,524","1,555","1,176 to 1,934","34.4","26.0 to 42.8"
"2020","13039","Camden County","53,210","5,021","3,735 to 6,307","9.4","7.0 to 11.8"
"2020","13043","Candler County","10,679","2,143","1,586 to 2,700","20.1","14.9 to 25.3"
"2020","13045","Carroll County","117,191","19,693","16,690 to 22,696","16.8","14.2 to 19.4"
"2020","13047","Catoosa County","67,378","6,796","5,040 to 8,552","10.1","7.5 to 12.7"
"2020","13049","Charlton County","10,887","2,781","2,169 to 3,393","25.5","19.9 to 31.1"
"2020","13051","Chatham County","275,079","43,011","36,110 to 49,912","15.6","13.1 to 18.1"
"2020","13053","Chattahoochee County","7,836","1,222","916 to 1,528","15.6","11.7 to 19.5"
"2020","13055","Chattooga County","23,517","4,431","3,437 to 5,425","18.8","14.6 to 23.0"
"2020","13057","Cherokee County","263,075","17,630","14,284 to 20,976","6.7","5.4 to 8.0"
"2020","13059","Clarke County","117,460","28,845","24,935 to 32,755","24.6","21.3 to 27.9"
"2020","13061","Clay County","2,803","675","489 to 861","24.1","17.5 to 30.7"
"2020","13063","Clayton County","286,953","48,136","39,375 to 56,897","16.8","13.7 to 19.9"
"2020","13065","Clinch County","6,496","1,326","989 to 1,663","20.4","15.2 to 25.6"
"2020","13067","Cobb County","752,153","69,097","58,477 to 79,717","9.2","7.8 to 10.6"
"2020","13069","Coffee County","39,840","9,184","7,422 to 10,946","23.1","18.7 to 27.5"
"2020","13071","Colquitt County","44,497","9,078","7,225 to 10,931","20.4","16.2 to 24.6"
"2020","13073","Columbia County","159,398","10,629","8,384 to 12,874","6.7","5.3 to 8.1"
"2020","13075","Cook County","17,118","3,340","2,533 to 4,147","19.5","14.8 to 24.2"
"2020","13077","Coweta County","149,863","12,862","10,010 to 15,714","8.6","6.7 to 10.5"
"2020","13079","Crawford County","12,090","1,941","1,470 to 2,412","16.1","12.2 to 20.0"
"2020","13081","Crisp County","21,564","5,282","4,099 to 6,465","24.5","19.0 to 30.0"
"2020","13083","Dade County","15,055","1,954","1,458 to 2,450","13.0","9.7 to 16.3"
"2020","13085","Dawson County","26,910","2,332","1,752 to 2,912","8.7","6.5 to 10.9"
"2020","13087","Decatur County","25,382","6,495","5,275 to 7,715","25.6","20.8 to 30.4"
"2020","13089","DeKalb County","748,938","118,345","104,697 to 131,993","15.8","14.0 to 17.6"
"2020","13091","Dodge County","18,616","3,980","2,981 to 4,979","21.4","16.0 to 26.8"
"2020","13093","Dooly County","11,277","3,040","2,316 to 3,764","27.0","20.6 to 33.4"
"2020","13095","Dougherty County","82,682","22,686","18,497 to 26,875","27.4","22.3 to 32.5"
"2020","13097","Douglas County","146,444","16,770","13,288 to 20,252","11.5","9.1 to 13.9"
"2020","13099","Early County","9,878","2,371","1,799 to 2,943","24.0","18.2 to 29.8"
"2020","13101","Echols County","3,980","821","610 to 1,032","20.6","15.3 to 25.9"
"2020","13103","Effingham County","64,968","5,293","3,904 to 6,682","8.1","6.0 to 10.2"
"2020","13105","Elbert County","19,020","4,528","3,817 to 5,239","23.8","20.1 to 27.5"
"2020","13107","Emanuel County","21,132","5,584","4,478 to 6,690","26.4","21.2 to 31.6"
"2020","13109","Evans County","10,210","2,002","1,451 to 2,553","19.6","14.2 to 25.0"
"2020","13111","Fannin County","26,318","4,111","3,254 to 4,968","15.6","12.3 to 18.9"
"2020","13113","Fayette County","115,132","6,079","4,608 to 7,550","5.3","4.0 to 6.6"
"2020","13115","Floyd County","94,758","17,472","14,566 to 20,378","18.4","15.3 to 21.5"
"2020","13117","Forsyth County","249,702","12,669","10,106 to 15,232","5.1","4.1 to 6.1"
"2020","13119","Franklin County","22,694","3,708","2,908 to 4,508","16.3","12.8 to 19.8"
"2020","13121","Fulton County","1,046,186","136,220","116,710 to 155,730","13.0","11.1 to 14.9"
"2020","13123","Gilmer County","31,782","4,437","3,383 to 5,491","14.0","10.7 to 17.3"
"2020","13125","Glascock County","2,892","447","340 to 554","15.5","11.8 to 19.2"
"2020","13127","Glynn County","84,305","13,107","10,552 to 15,662","15.5","12.5 to 18.5"
"2020","13129","Gordon County","57,918","6,829","5,201 to 8,457","11.8","9.0 to 14.6"
"2020","13131","Grady County","24,233","4,527","3,401 to 5,653","18.7","14.1 to 23.3"
"2020","13133","Greene County","18,638","2,849","2,172 to 3,526","15.3","11.7 to 18.9"
