"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2020","00000","United States","321,478,113","38,371,394","38,309,115 to 38,433,673","11.9","11.9 to 11.9"
"2020","26000","Michigan","9,758,289","1,232,948","1,207,303 to 1,258,593","12.6","12.3 to 12.9"
"2020","26001","Alcona County","10,391","1,458","1,131 to 1,785","14.0","10.9 to 17.1"
"2020","26003","Alger County","8,051","978","741 to 1,215","12.1","9.2 to 15.0"
"2020","26005","Allegan County","117,770","8,552","6,485 to 10,619","7.3","5.5 to 9.1"
"2020","26007","Alpena County","27,788","4,334","3,608 to 5,060","15.6","13.0 to 18.2"
"2020","26009","Antrim County","23,222","2,625","2,122 to 3,128","11.3","9.1 to 13.5"
"2020","26011","Arenac County","14,750","1,888","1,438 to 2,338","12.8","9.7 to 15.9"
"2020","26013","Baraga County","7,159","911","664 to 1,158","12.7","9.2 to 16.2"
"2020","26015","Barry County","61,287","4,668","3,651 to 5,685","7.6","5.9 to 9.3"
"2020","26017","Bay County","101,228","12,891","10,836 to 14,946","12.7","10.7 to 14.7"
"2020","26019","Benzie County","17,632","1,673","1,332 to 2,014","9.5","7.6 to 11.4"
"2020","26021","Berrien County","149,862","22,678","18,243 to 27,113","15.1","12.1 to 18.1"
"2020","26023","Branch County","41,519","5,861","4,811 to 6,911","14.1","11.6 to 16.6"
"2020","26025","Calhoun County","129,873","19,661","16,836 to 22,486","15.1","12.9 to 17.3"
"2020","26027","Cass County","51,020","5,677","4,409 to 6,945","11.1","8.6 to 13.6"
"2020","26029","Charlevoix County","25,823","2,245","1,686 to 2,804","8.7","6.5 to 10.9"
"2020","26031","Cheboygan County","24,970","3,166","2,477 to 3,855","12.7","9.9 to 15.5"
"2020","26033","Chippewa County","32,338","4,486","3,470 to 5,502","13.9","10.8 to 17.0"
"2020","26035","Clare County","30,375","5,467","4,418 to 6,516","18.0","14.5 to 21.5"
"2020","26037","Clinton County","79,068","6,220","5,202 to 7,238","7.9","6.6 to 9.2"
"2020","26039","Crawford County","13,754","1,869","1,405 to 2,333","13.6","10.2 to 17.0"
"2020","26041","Delta County","35,036","3,942","3,155 to 4,729","11.3","9.1 to 13.5"
"2020","26043","Dickinson County","24,687","2,386","1,755 to 3,017","9.7","7.1 to 12.3"
"2020","26045","Eaton County","108,310","8,409","6,661 to 10,157","7.8","6.2 to 9.4"
"2020","26047","Emmet County","32,834","2,858","2,250 to 3,466","8.7","6.8 to 10.6"
"2020","26049","Genesee County","399,727","73,344","66,168 to 80,520","18.3","16.5 to 20.1"
"2020","26051","Gladwin County","25,116","4,158","3,410 to 4,906","16.6","13.6 to 19.6"
"2020","26053","Gogebic County","13,465","1,683","1,202 to 2,164","12.5","8.9 to 16.1"
"2020","26055","Grand Traverse County","92,444","8,019","6,614 to 9,424","8.7","7.2 to 10.2"
"2020","26057","Gratiot County","34,895","4,787","3,735 to 5,839","13.7","10.7 to 16.7"
"2020","26059","Hillsdale County","44,135","5,577","4,406 to 6,748","12.6","9.9 to 15.3"
"2020","26061","Houghton County","32,405","4,873","3,937 to 5,809","15.0","12.1 to 17.9"
"2020","26063","Huron County","30,232","3,500","2,916 to 4,084","11.6","9.7 to 13.5"
