QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
31121205.00000,Inflation or increasing costs,52,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
31121205.00000,Unemployment,3,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
31121205.00000,Economic inequality,11,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
31121205.00000,Political extremism or polarization,24,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
31121205.00000,Government budget and debt,14,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
31121205.00000,Taxes,8,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
31121205.00000,Foreign conflicts or terrorism,10,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
31121205.00000,Education,7,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
31121205.00000,Immigration,32,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
31121205.00000,Race and racism,10,"Which of the following topics are the most important issues facing the country? (Select up to three)...Inflation or increasing costs, unemployment, economic inequality, political extremism or polarization, government budget and debt, taxes, foreign conflicts or terrorism, education, immigration, race and racism, healthcare, COVID-19 coronavirus, opioid or drug addiction, abortion, crime or gun violence, climate change, natural disasters, election security or fraud, housing cost or availability, other",Adds to more than 100% due to multiple responses.,,08/8/2024,Ipsos,,Trump and Harris are locked in tight race among voters in swing states,07/31/2024,08/7/2024,Y,"Adult residents of Arizona, Georgia, Michigan, Nevada, North Carolina, Pennsylvania, and Wisconsin",2045,,Web-based survey,
