year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2020,NEVADA,NV,CHURCHILL,32001,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,9367,12881,20220315,TOTAL
2020,NEVADA,NV,CLARK,32003,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,521777,972308,20220315,TOTAL
2020,NEVADA,NV,DOUGLAS,32005,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,21623,34117,20220315,TOTAL
2020,NEVADA,NV,ELKO,32007,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,16734,21957,20220315,TOTAL
2020,NEVADA,NV,ESMERALDA,32009,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,395,480,20220315,TOTAL
2020,NEVADA,NV,EUREKA,32011,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,887,1008,20220315,TOTAL
2020,NEVADA,NV,HUMBOLDT,32013,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5877,7771,20220315,TOTAL
2020,NEVADA,NV,LANDER,32015,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2198,2765,20220315,TOTAL
2020,NEVADA,NV,LINCOLN,32017,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2067,2446,20220315,TOTAL
2020,NEVADA,NV,LYON,32019,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,20906,30229,20220315,TOTAL
2020,NEVADA,NV,MINERAL,32021,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1420,2327,20220315,TOTAL
2020,NEVADA,NV,NYE,32023,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,17527,25376,20220315,TOTAL
2020,NEVADA,NV,PERSHING,32027,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1731,2320,20220315,TOTAL
2020,NEVADA,NV,STOREY,32029,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1901,2868,20220315,TOTAL
2020,NEVADA,NV,WASHOE,32031,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,128052,251956,20220315,TOTAL
2020,NEVADA,NV,WHITE PINE,32033,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3400,4363,20220315,TOTAL
2020,NEVADA,NV,CARSON CITY,32510,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,16113,29739,20220315,TOTAL
