QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote
31122041.00000,Almost certain,50,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00000,Very likely,31,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00000,Somewhat likely,8,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00000,Not very likely,3,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00000,Not at all likely,6,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00000,Don't know/Refused,2,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00001,"Harris, the Democrat",42,"If the 2024 presidential election were held today, who would you vote for if the candidates were Kamala Harris, the Democrat, Donald Trump, the Republican, Robert F. Kennedy Jr., the third-party candidate, Jill Stein, the Green Party candidate, Chase Oliver, the Libertarian Party candidate?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00001,"Trump, the Republican",45,"If the 2024 presidential election were held today, who would you vote for if the candidates were Kamala Harris, the Democrat, Donald Trump, the Republican, Robert F. Kennedy Jr., the third-party candidate, Jill Stein, the Green Party candidate, Chase Oliver, the Libertarian Party candidate?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00001,"Kennedy Jr., the third-party candidate",6,"If the 2024 presidential election were held today, who would you vote for if the candidates were Kamala Harris, the Democrat, Donald Trump, the Republican, Robert F. Kennedy Jr., the third-party candidate, Jill Stein, the Green Party candidate, Chase Oliver, the Libertarian Party candidate?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00001,"Stein, the Green Party candidate",1,"If the 2024 presidential election were held today, who would you vote for if the candidates were Kamala Harris, the Democrat, Donald Trump, the Republican, Robert F. Kennedy Jr., the third-party candidate, Jill Stein, the Green Party candidate, Chase Oliver, the Libertarian Party candidate?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
31122041.00001,"Chase Oliver, the Libertarian Party candidate",1,"If the 2024 presidential election were held today, who would you vote for if the candidates were Kamala Harris, the Democrat, Donald Trump, the Republican, Robert F. Kennedy Jr., the third-party candidate, Jill Stein, the Green Party candidate, Chase Oliver, the Libertarian Party candidate?",,,08/17/2024,Siena College Research Institute,New York Times,Harris Gains in Sun Belt as Demographic Patterns Start to Look ‘Normal’,08/12/2024,08/15/2024,Y,Nevada registered voters,677,,"Telephone Interview, Cell Phone; Telephone Interview, Landline",
