"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2020","00000","United States","321,478,113","38,371,394","38,309,115 to 38,433,673","11.9","11.9 to 11.9"
"2020","37000","North Carolina","10,308,695","1,329,685","1,298,231 to 1,361,139","12.9","12.6 to 13.2"
"2020","37001","Alamance County","165,090","24,978","21,794 to 28,162","15.1","13.2 to 17.0"
"2020","37003","Alexander County","35,878","4,248","3,276 to 5,220","11.8","9.1 to 14.5"
"2020","37005","Alleghany County","11,071","2,004","1,604 to 2,404","18.1","14.5 to 21.7"
"2020","37007","Anson County","22,623","4,692","3,635 to 5,749","20.7","16.0 to 25.4"
"2020","37009","Ashe County","26,937","3,913","3,032 to 4,794","14.5","11.2 to 17.8"
"2020","37011","Avery County","15,171","2,398","1,798 to 2,998","15.8","11.8 to 19.8"
"2020","37013","Beaufort County","46,535","8,434","6,705 to 10,163","18.1","14.4 to 21.8"
"2020","37015","Bertie County","17,193","3,916","2,946 to 4,886","22.8","17.2 to 28.4"
"2020","37017","Bladen County","32,549","7,045","5,965 to 8,125","21.6","18.3 to 24.9"
"2020","37019","Brunswick County","147,870","16,628","13,928 to 19,328","11.2","9.4 to 13.0"
"2020","37021","Buncombe County","255,979","35,693","30,504 to 40,882","13.9","11.9 to 15.9"
"2020","37023","Burke County","87,662","16,166","14,184 to 18,148","18.4","16.1 to 20.7"
"2020","37025","Cabarrus County","219,077","17,543","13,853 to 21,233","8.0","6.3 to 9.7"
"2020","37027","Caldwell County","80,993","10,557","8,205 to 12,909","13.0","10.1 to 15.9"
"2020","37029","Camden County","10,952","806","601 to 1,011","7.4","5.5 to 9.3"
"2020","37031","Carteret County","68,482","6,394","4,710 to 8,078","9.3","6.8 to 11.8"
"2020","37033","Caswell County","21,276","3,287","2,465 to 4,109","15.4","11.5 to 19.3"
"2020","37035","Catawba County","157,557","18,349","15,038 to 21,660","11.6","9.5 to 13.7"
"2020","37037","Chatham County","74,840","7,186","5,835 to 8,537","9.6","7.8 to 11.4"
"2020","37039","Cherokee County","28,671","4,337","3,390 to 5,284","15.1","11.8 to 18.4"
"2020","37041","Chowan County","13,550","2,350","1,835 to 2,865","17.3","13.5 to 21.1"
"2020","37043","Clay County","11,362","1,862","1,503 to 2,221","16.4","13.2 to 19.6"
"2020","37045","Cleveland County","97,038","14,524","11,797 to 17,251","15.0","12.2 to 17.8"
"2020","37047","Columbus County","51,815","11,012","8,901 to 13,123","21.3","17.2 to 25.4"
"2020","37049","Craven County","96,315","12,681","10,251 to 15,111","13.2","10.7 to 15.7"
"2020","37051","Cumberland County","319,229","58,933","53,464 to 64,402","18.5","16.8 to 20.2"
"2020","37053","Currituck County","28,847","2,772","2,187 to 3,357","9.6","7.6 to 11.6"
"2020","37055","Dare County","37,259","3,262","2,522 to 4,002","8.8","6.8 to 10.8"
"2020","37057","Davidson County","167,245","20,044","16,076 to 24,012","12.0","9.6 to 14.4"
"2020","37059","Davie County","42,883","4,121","3,172 to 5,070","9.6","7.4 to 11.8"
"2020","37061","Duplin County","58,237","10,643","8,323 to 12,963","18.3","14.3 to 22.3"
"2020","37063","Durham County","313,002","36,583","30,735 to 42,431","11.7","9.8 to 13.6"
"2020","37065","Edgecombe County","49,908","12,004","9,873 to 14,135","24.1","19.8 to 28.4"
