State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±)
Puerto Rico,Ciales Municipio,Metro area,62.0%,4.5%
Puerto Rico,Lares Municipio,Metro area,61.6%,3.0%
Puerto Rico,Florida Municipio,Metro area,61.1%,7.3%
Puerto Rico,Yabucoa Municipio,Metro area,60.5%,3.9%
Puerto Rico,Adjuntas Municipio,Metro area,59.4%,4.1%
Puerto Rico,Villalba Municipio,Metro area,59.2%,4.1%
Puerto Rico,Orocovis Municipio,Metro area,58.7%,3.7%
Puerto Rico,Arroyo Municipio,Metro area,58.7%,6.5%
Puerto Rico,Jayuya Municipio,Small town,58.5%,6.7%
Puerto Rico,Guánica Municipio,Metro area,58.4%,4.0%
Puerto Rico,Comerío Municipio,Metro area,58.1%,4.9%
Puerto Rico,Morovis Municipio,Metro area,58.0%,3.9%
Puerto Rico,Barranquitas Municipio,Metro area,57.9%,4.2%
Puerto Rico,Corozal Municipio,Metro area,56.7%,4.4%
Puerto Rico,Patillas Municipio,Metro area,56.7%,4.9%
Puerto Rico,Naranjito Municipio,Metro area,56.0%,5.6%
Puerto Rico,Lajas Municipio,Metro area,55.3%,4.3%
Puerto Rico,Moca Municipio,Metro area,55.1%,3.6%
Puerto Rico,Juana Díaz Municipio,Metro area,55.0%,3.1%
Puerto Rico,San Sebastián Municipio,Metro area,54.6%,4.0%
Puerto Rico,Aguada Municipio,Metro area,54.5%,2.4%
Puerto Rico,Añasco Municipio,Metro area,54.5%,4.1%
Puerto Rico,Maricao Municipio,Rural area,54.0%,6.7%
Puerto Rico,Peñuelas Municipio,Metro area,53.9%,4.7%
Puerto Rico,Las Marías Municipio,Metro area,53.9%,7.1%
Puerto Rico,Utuado Municipio,Metro area,53.6%,3.0%
Puerto Rico,Camuy Municipio,Metro area,53.6%,3.6%
Alaska,Kusilvak Census Area,Rural area,53.6%,3.3%
Puerto Rico,Guayama Municipio,Metro area,53.5%,4.0%
Puerto Rico,Quebradillas Municipio,Metro area,53.1%,5.0%
Puerto Rico,Loíza Municipio,Metro area,52.9%,3.2%
Puerto Rico,San Lorenzo Municipio,Metro area,52.6%,3.6%
Puerto Rico,Naguabo Municipio,Metro area,52.0%,6.0%
Puerto Rico,Ponce Municipio,Metro area,52.0%,1.3%
Puerto Rico,Guayanilla Municipio,Metro area,51.8%,4.7%
Puerto Rico,Hatillo Municipio,Metro area,51.6%,4.0%
Puerto Rico,Barceloneta Municipio,Metro area,51.5%,5.5%
Puerto Rico,Aguas Buenas Municipio,Metro area,51.5%,4.6%
Puerto Rico,Arecibo Municipio,Metro area,51.3%,2.1%
Puerto Rico,San Germán Municipio,Metro area,50.8%,3.5%
Puerto Rico,Luquillo Municipio,Metro area,50.2%,3.9%
Puerto Rico,Coamo Municipio,Small town,50.2%,3.9%
Puerto Rico,Mayagüez Municipio,Metro area,50.1%,2.2%
Puerto Rico,Canóvanas Municipio,Metro area,49.7%,3.3%
Puerto Rico,Salinas Municipio,Small town,49.6%,4.5%
Puerto Rico,Ceiba Municipio,Metro area,49.2%,4.9%
Puerto Rico,Maunabo Municipio,Metro area,49.1%,6.6%
Puerto Rico,Yauco Municipio,Metro area,49.0%,2.7%
Puerto Rico,Juncos Municipio,Metro area,48.7%,3.6%
Puerto Rico,Isabela Municipio,Metro area,48.6%,2.9%
Puerto Rico,Las Piedras Municipio,Metro area,48.3%,4.3%
Puerto Rico,Aguadilla Municipio,Metro area,47.2%,2.3%
South Dakota,Oglala Lakota County,Rural area,46.6%,6.1%
Puerto Rico,Aibonito Municipio,Metro area,46.4%,3.8%
Puerto Rico,Vega Alta Municipio,Metro area,46.3%,3.1%
Puerto Rico,Cidra Municipio,Metro area,46.0%,3.3%
Puerto Rico,Santa Isabel Municipio,Small town,45.4%,4.4%
Puerto Rico,Río Grande Municipio,Metro area,45.4%,2.7%
Puerto Rico,Cabo Rojo Municipio,Metro area,44.9%,3.3%
Puerto Rico,Hormigueros Municipio,Metro area,44.6%,5.3%
Puerto Rico,Rincón Municipio,Metro area,44.3%,4.5%
