"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2020","00000","United States","321,478,113","38,371,394","38,309,115 to 38,433,673","11.9","11.9 to 11.9"
"2020","42000","Pennsylvania","12,382,206","1,345,976","1,318,808 to 1,373,144","10.9","10.7 to 11.1"
"2020","42001","Adams County","98,610","7,867","6,230 to 9,504","8.0","6.3 to 9.7"
"2020","42003","Allegheny County","1,178,955","123,280","112,624 to 133,936","10.5","9.6 to 11.4"
"2020","42005","Armstrong County","63,433","7,391","5,994 to 8,788","11.7","9.5 to 13.9"
"2020","42007","Beaver County","159,660","14,568","11,915 to 17,221","9.1","7.4 to 10.8"
"2020","42009","Bedford County","47,172","5,177","3,985 to 6,369","11.0","8.5 to 13.5"
"2020","42011","Berks County","409,574","44,744","38,873 to 50,615","10.9","9.5 to 12.3"
"2020","42013","Blair County","117,480","13,608","11,005 to 16,211","11.6","9.4 to 13.8"
"2020","42015","Bradford County","59,391","6,364","5,004 to 7,724","10.7","8.4 to 13.0"
"2020","42017","Bucks County","619,749","36,950","30,102 to 43,798","6.0","4.9 to 7.1"
"2020","42019","Butler County","183,916","13,624","11,351 to 15,897","7.4","6.2 to 8.6"
"2020","42021","Cambria County","123,168","15,360","12,265 to 18,455","12.5","10.0 to 15.0"
"2020","42023","Cameron County","4,264","574","439 to 709","13.5","10.3 to 16.7"
"2020","42025","Carbon County","63,198","7,168","5,897 to 8,439","11.3","9.3 to 13.3"
"2020","42027","Centre County","142,192","18,339","16,158 to 20,520","12.9","11.4 to 14.4"
"2020","42029","Chester County","514,463","26,903","22,210 to 31,596","5.2","4.3 to 6.1"
"2020","42031","Clarion County","36,511","4,689","3,790 to 5,588","12.8","10.3 to 15.3"
"2020","42033","Clearfield County","72,772","10,386","8,505 to 12,267","14.3","11.7 to 16.9"
"2020","42035","Clinton County","36,095","4,835","3,850 to 5,820","13.4","10.7 to 16.1"
"2020","42037","Columbia County","61,171","7,149","5,589 to 8,709","11.7","9.2 to 14.2"
"2020","42039","Crawford County","79,963","10,190","8,137 to 12,243","12.7","10.1 to 15.3"
"2020","42041","Cumberland County","243,698","18,630","15,458 to 21,802","7.6","6.3 to 8.9"
"2020","42043","Dauphin County","274,539","31,903","27,054 to 36,752","11.6","9.8 to 13.4"
"2020","42045","Delaware County","545,567","50,715","43,218 to 58,212","9.3","7.9 to 10.7"
"2020","42047","Elk County","29,216","2,426","1,815 to 3,037","8.3","6.2 to 10.4"
"2020","42049","Erie County","256,586","34,469","29,030 to 39,908","13.4","11.3 to 15.5"
"2020","42051","Fayette County","124,678","23,301","20,490 to 26,112","18.7","16.4 to 21.0"
"2020","42053","Forest County","4,535","1,037","785 to 1,289","22.9","17.3 to 28.5"
"2020","42055","Franklin County","153,157","14,354","11,592 to 17,116","9.4","7.6 to 11.2"
"2020","42057","Fulton County","14,321","1,516","1,190 to 1,842","10.6","8.3 to 12.9"
"2020","42059","Greene County","32,630","4,154","3,078 to 5,230","12.7","9.4 to 16.0"
"2020","42061","Huntingdon County","39,726","4,234","3,151 to 5,317","10.7","8.0 to 13.4"
"2020","42063","Indiana County","78,799","10,570","8,152 to 12,988","13.4","10.3 to 16.5"
"2020","42065","Jefferson County","42,255","4,669","3,619 to 5,719","11.0","8.5 to 13.5"
"2020","42067","Juniata County","24,271","2,423","1,836 to 3,010","10.0","7.6 to 12.4"
"2020","42069","Lackawanna County","201,414","24,549","20,047 to 29,051","12.2","10.0 to 14.4"
"2020","42071","Lancaster County","533,355","40,963","33,194 to 48,732","7.7","6.2 to 9.2"
"2020","42073","Lawrence County","82,975","10,676","8,494 to 12,858","12.9","10.3 to 15.5"
"2020","42075","Lebanon County","137,860","12,360","9,680 to 15,040","9.0","7.1 to 10.9"
"2020","42077","Lehigh County","361,653","42,385","36,723 to 48,047","11.7","10.1 to 13.3"
"2020","42079","Luzerne County","305,562","46,287","40,693 to 51,881","15.1","13.3 to 16.9"
"2020","42081","Lycoming County","107,911","14,273","11,907 to 16,639","13.2","11.0 to 15.4"
"2020","42083","Mc Kean County","37,387","5,187","4,003 to 6,371","13.9","10.7 to 17.1"
"2020","42085","Mercer County","102,493","12,677","10,248 to 15,106","12.4","10.0 to 14.8"
"2020","42087","Mifflin County","45,379","5,992","4,636 to 7,348","13.2","10.2 to 16.2"
"2020","42089","Monroe County","165,774","17,353","13,366 to 21,340","10.5","8.1 to 12.9"
"2020","42091","Montgomery County","813,507","45,874","38,542 to 53,206","5.6","4.7 to 6.5"
"2020","42093","Montour County","17,297","1,551","1,156 to 1,946","9.0","6.7 to 11.3"
"2020","42095","Northampton County","295,158","22,304","17,925 to 26,683","7.6","6.1 to 9.1"
"2020","42097","Northumberland County","86,591","10,489","8,453 to 12,525","12.1","9.7 to 14.5"
"2020","42099","Perry County","45,509","3,858","3,037 to 4,679","8.5","6.7 to 10.3"
"2020","42101","Philadelphia County","1,530,489","296,836","276,685 to 316,987","19.4","18.1 to 20.7"
"2020","42103","Pike County","55,507","5,143","3,961 to 6,325","9.3","7.2 to 11.4"
"2020","42105","Potter County","16,211","1,977","1,486 to 2,468","12.2","9.2 to 15.2"
"2020","42107","Schuylkill County","133,913","16,956","13,777 to 20,135","12.7","10.3 to 15.1"
"2020","42109","Snyder County","37,518","3,797","2,951 to 4,643","10.1","7.8 to 12.4"
"2020","42111","Somerset County","68,069","7,952","5,953 to 9,951","11.7","8.8 to 14.6"
"2020","42113","Sullivan County","5,761","708","534 to 882","12.3","9.3 to 15.3"
"2020","42115","Susquehanna County","39,606","4,580","3,664 to 5,496","11.6","9.3 to 13.9"
"2020","42117","Tioga County","38,994","4,493","3,551 to 5,435","11.5","9.1 to 13.9"
"2020","42119","Union County","36,082","3,997","3,023 to 4,971","11.1","8.4 to 13.8"
