"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2020","00000","United States","321,478,113","38,371,394","38,309,115 to 38,433,673","11.9","11.9 to 11.9"
"2020","55000","Wisconsin","5,689,268","571,049","554,353 to 587,745","10.0","9.7 to 10.3"
"2020","55001","Adams County","19,354","2,389","1,868 to 2,910","12.3","9.6 to 15.0"
"2020","55003","Ashland County","14,783","1,845","1,393 to 2,297","12.5","9.4 to 15.6"
"2020","55005","Barron County","44,460","4,466","3,517 to 5,415","10.0","7.9 to 12.1"
"2020","55007","Bayfield County","15,083","1,655","1,280 to 2,030","11.0","8.5 to 13.5"
"2020","55009","Brown County","258,049","21,896","18,461 to 25,331","8.5","7.2 to 9.8"
"2020","55011","Buffalo County","12,941","1,037","773 to 1,301","8.0","6.0 to 10.0"
"2020","55013","Burnett County","15,391","1,644","1,326 to 1,962","10.7","8.6 to 12.8"
"2020","55015","Calumet County","49,936","2,267","1,730 to 2,804","4.5","3.4 to 5.6"
"2020","55017","Chippewa County","62,045","5,805","4,653 to 6,957","9.4","7.5 to 11.3"
"2020","55019","Clark County","34,153","4,471","3,665 to 5,277","13.1","10.7 to 15.5"
"2020","55021","Columbia County","56,202","3,873","3,025 to 4,721","6.9","5.4 to 8.4"
"2020","55023","Crawford County","15,280","2,026","1,634 to 2,418","13.3","10.7 to 15.9"
"2020","55025","Dane County","538,782","51,956","46,727 to 57,185","9.6","8.6 to 10.6"
"2020","55027","Dodge County","81,077","5,822","4,561 to 7,083","7.2","5.6 to 8.8"
"2020","55029","Door County","27,532","2,159","1,683 to 2,635","7.8","6.1 to 9.5"
"2020","55031","Douglas County","42,381","4,236","3,256 to 5,216","10.0","7.7 to 12.3"
"2020","55033","Dunn County","42,135","4,267","3,291 to 5,243","10.1","7.8 to 12.4"
"2020","55035","Eau Claire County","100,620","9,830","7,922 to 11,738","9.8","7.9 to 11.7"
"2020","55037","Florence County","4,235","447","335 to 559","10.6","8.0 to 13.2"
"2020","55039","Fond du Lac County","99,524","7,562","5,989 to 9,135","7.6","6.0 to 9.2"
"2020","55041","Forest County","8,815","1,055","791 to 1,319","12.0","9.0 to 15.0"
"2020","55043","Grant County","46,978","5,616","4,630 to 6,602","12.0","9.9 to 14.1"
"2020","55045","Green County","36,217","2,666","2,127 to 3,205","7.4","5.9 to 8.9"
"2020","55047","Green Lake County","18,683","1,819","1,435 to 2,203","9.7","7.6 to 11.8"
"2020","55049","Iowa County","23,437","1,695","1,315 to 2,075","7.2","5.6 to 8.8"
"2020","55051","Iron County","5,593","624","462 to 786","11.2","8.3 to 14.1"
"2020","55053","Jackson County","19,299","2,460","1,984 to 2,936","12.7","10.2 to 15.2"
"2020","55055","Jefferson County","82,362","6,003","4,738 to 7,268","7.3","5.8 to 8.8"
"2020","55057","Juneau County","25,524","3,049","2,371 to 3,727","11.9","9.2 to 14.6"
"2020","55059","Kenosha County","165,291","18,137","15,308 to 20,966","11.0","9.3 to 12.7"
"2020","55061","Kewaunee County","20,208","1,355","1,070 to 1,640","6.7","5.3 to 8.1"
"2020","55063","La Crosse County","113,281","11,307","9,509 to 13,105","10.0","8.4 to 11.6"
"2020","55065","Lafayette County","16,485","1,458","1,150 to 1,766","8.8","6.9 to 10.7"
"2020","55067","Langlade County","18,771","2,012","1,477 to 2,547","10.7","7.8 to 13.6"
"2020","55069","Lincoln County","26,926","2,062","1,550 to 2,574","7.7","5.8 to 9.6"
"2020","55071","Manitowoc County","77,960","6,126","4,839 to 7,413","7.9","6.2 to 9.6"
"2020","55073","Marathon County","134,074","8,986","7,131 to 10,841","6.7","5.3 to 8.1"
"2020","55075","Marinette County","39,561","3,738","2,867 to 4,609","9.4","7.2 to 11.6"
"2020","55077","Marquette County","15,441","1,594","1,276 to 1,912","10.3","8.2 to 12.4"
"2020","55078","Menominee County","4,482","1,012","749 to 1,275","22.6","16.7 to 28.5"
"2020","55079","Milwaukee County","924,035","175,538","164,673 to 186,403","19.0","17.8 to 20.2"
"2020","55081","Monroe County","45,408","4,767","3,780 to 5,754","10.5","8.3 to 12.7"
"2020","55083","Oconto County","38,009","2,897","2,268 to 3,526","7.6","5.9 to 9.3"
"2020","55085","Oneida County","35,096","2,749","2,093 to 3,405","7.8","5.9 to 9.7"
"2020","55087","Outagamie County","185,678","12,271","10,382 to 14,160","6.6","5.6 to 7.6"
"2020","55089","Ozaukee County","88,004","3,786","2,955 to 4,617","4.3","3.4 to 5.2"
"2020","55091","Pepin County","7,197","654","498 to 810","9.1","6.9 to 11.3"
"2020","55093","Pierce County","39,942","2,901","2,336 to 3,466","7.3","5.9 to 8.7"
"2020","55095","Polk County","43,289","3,835","3,040 to 4,630","8.9","7.1 to 10.7"
"2020","55097","Portage County","67,970","5,633","4,478 to 6,788","8.3","6.6 to 10.0"
"2020","55099","Price County","13,066","1,459","1,135 to 1,783","11.2","8.7 to 13.7"
"2020","55101","Racine County","190,970","17,971","14,213 to 21,729","9.4","7.4 to 11.4"
"2020","55103","Richland County","17,001","2,282","1,892 to 2,672","13.4","11.1 to 15.7"
"2020","55105","Rock County","160,287","14,946","11,959 to 17,933","9.3","7.4 to 11.2"
"2020","55107","Rusk County","13,856","1,619","1,212 to 2,026","11.7","8.8 to 14.6"
"2020","55109","St. Croix County","90,939","4,421","3,463 to 5,379","4.9","3.8 to 6.0"
"2020","55111","Sauk County","63,587","5,151","4,105 to 6,197","8.1","6.5 to 9.7"
"2020","55113","Sawyer County","16,341","2,013","1,560 to 2,466","12.3","9.5 to 15.1"
"2020","55115","Shawano County","40,096","4,147","3,470 to 4,824","10.3","8.6 to 12.0"
"2020","55117","Sheboygan County","112,261","8,529","6,917 to 10,141","7.6","6.2 to 9.0"
"2020","55119","Taylor County","20,041","1,920","1,529 to 2,311","9.6","7.7 to 11.5"
"2020","55121","Trempealeau County","29,138","2,140","1,601 to 2,679","7.3","5.5 to 9.1"
"2020","55123","Vernon County","30,525","3,642","2,784 to 4,500","11.9","9.1 to 14.7"
